Package ID,Created,Modified,Vendor Company,Vendor
2323292,13-Mar-25,15-Mar-25,Holiday Niseko,Neyuki
2348433,30-Mar-25,,Holiday Niseko,Flow Niseko
2348706,31-Mar-25,29-Apr-25,Holiday Niseko,Ishi Couloir
2359039,13-Apr-25,15-Apr-25,Holiday Niseko,Ruby Chalet
2369261,30-Apr-25,1-May-25,Holiday Niseko,Yukon Apartments
2376855,6-May-25,6-May-25,M Group Niseko,M Lodge
2390721,31-May-25,,Holiday Niseko,Shinsetsu Apartments
2405204,13-Jun-25,,Holiday Niseko,Takayama
2412439,24-Jun-25,24-Jun-25,Niseko Management Service,Forest Estate
2414580,27-Jun-25,,Holiday Niseko,Sakura
2430505,14-Jul-25,,Holiday Niseko,Snowbird Studios
2454940,2-Aug-25,3-Aug-25,Holiday Niseko,Yukon Apartments
2472524,14-Aug-25,15-Aug-25,Holiday Niseko,Lodge Mori
2478793,17-Aug-25,,Holiday Niseko,Aozora
2479924,18-Aug-25,19-Aug-25,Holiday Niseko,Shinsetsu Apartments
2482634,19-Aug-25,,Holiday Niseko,Avalon
2492796,28-Aug-25,,Holiday Niseko,Ishi Couloir
2493505,29-Aug-25,,Holiday Niseko,Flow Niseko
2149876,18-Jan-25,,Holiday Niseko,Seisei
2224730,9-Feb-25,,Holiday Niseko,Cecuko
2348394,30-Mar-25,,Holiday Niseko,Yukine
2349130,31-Mar-25,,Holiday Niseko,Snowbird Studios
2356314,8-Apr-25,,Holiday Niseko,Yukon Apartments
2381061,13-May-25,,Holiday Niseko,Yuki no Taki 2
2407908,17-Jun-25,24-Jun-25,Holiday Niseko,Lodge Mori
2417740,1-Jul-25,,Holiday Niseko,Snowbird Studios
2427252,10-Jul-25,,Holiday Niseko,Hikaru
2428260,12-Jul-25,14-Jul-25,Holiday Niseko,Asuka 5 - 10
2431871,16-Jul-25,16-Jul-25,Holiday Niseko,Asuka Value
2443369,25-Jul-25,,Holiday Niseko,Shinsetsu Apartments
2445585,27-Jul-25,,Holiday Niseko,Avalon
2452803,31-Jul-25,,Holiday Niseko,Kabayama Chalet
2461930,7-Aug-25,8-Aug-25,Holiday Niseko,Shinsetsu Apartments
2463389,8-Aug-25,,Holiday Niseko,Asuka Value
2499107,3-Sep-25,5-Sep-25,Holiday Niseko,Aster
2176347,26-Jan-25,,Holiday Niseko,Snowbird Studios
2307927,6-Mar-25,15-Mar-25,Holiday Niseko,La Plagne
2334366,19-Mar-25,,Holiday Niseko,Yutaka 1
2354980,7-Apr-25,7-Apr-25,Midorinoki,Akazora
2360517,16-Apr-25,20-Apr-25,Holiday Niseko,Neyuki
2430342,14-Jul-25,,Midorinoki,The Chalets at Country Resort
2432530,16-Jul-25,17-Jul-25,Holiday Niseko,Snowbird Studios
2435241,19-Jul-25,,Holiday Niseko,Koyo Onsen Chalet
2436754,20-Jul-25,17-Aug-25,Holiday Niseko,Kabayama Townhouses
2438524,21-Jul-25,,Holiday Niseko,Asuka Value
2464935,9-Aug-25,,Holiday Niseko,Snowbird Studios
2466479,10-Aug-25,14-Aug-25,Holiday Niseko,Himawari
2482588,19-Aug-25,19-Aug-25,Holiday Niseko,Nero
2491191,27-Aug-25,,Holiday Niseko,Sakura
2499444,4-Sep-25,,Holiday Niseko,Birch Grove
2505170,9-Sep-25,9-Sep-25,Midorinoki,The Chalets at Country Resort
2506131,10-Sep-25,,Holiday Niseko,Annupuri Retro Lodge
2308910,6-Mar-25,11-Mar-25,Holiday Niseko,Nitai
2321735,12-Mar-25,12-Mar-25,Holiday Niseko,Shinsetsu Apartments
2321748,12-Mar-25,12-Mar-25,Holiday Niseko,Shinsetsu Apartments
2330441,17-Mar-25,24-Jul-25,Holiday Niseko,Shinsetsu Apartments
2389022,28-May-25,28-May-25,Nisade,Intuition
2393475,4-Jun-25,,AYA Niseko,AYA Niseko
2417186,30-Jun-25,,Holiday Niseko,Olaf House
2424859,8-Jul-25,9-Jul-25,Holiday Niseko,Kabayama Townhouses
2436734,20-Jul-25,4-Aug-25,Holiday Niseko,Snowbird Studios
2460350,6-Aug-25,,Holiday Niseko,Annupuri Onsen Chalet
2482549,19-Aug-25,,Holiday Niseko,Asuka Value
2484266,20-Aug-25,,Holiday Niseko,Aoyama Lodge 2
2503526,7-Sep-25,,Holiday Niseko,Hanazaki Townhouses
